Two reactions fluxes result

Flux1 : R_EX_glc_e
Flux2 : R_EX_o2_e
Objective : R_Biomass_Ecoli_core_w_GAM

Flux1	Flux2	Objective
-15.0	-17.0	0.94901
-15.0	-15.5	0.900265
-15.0	-15.0	0.884017
-15.0	-14.5	0.867769
-15.0	-13.5	0.835272
-15.0	-13.0	0.819024
-15.0	-14.0	0.85152
-15.0	-12.5	0.802775
-15.0	-11.5	0.770279
-15.0	-12.0	0.786527
-15.0	-11.0	0.75403
-15.0	-10.5	0.737782
-15.0	-10.0	0.721534
-15.0	-9.5	0.705285
-15.0	-9.0	0.687932
-15.0	-8.5	0.669934
-15.0	-8.0	0.651935
-15.0	-7.5	0.633937
-15.0	-7.0	0.615938
-15.0	-6.5	0.59794
-15.0	-6.0	0.579941
-15.0	-5.5	0.561942
-15.0	-5.0	0.543944
-15.0	-4.5	0.525945
-15.0	-4.0	0.507947
-15.0	-3.5	0.489948
-15.0	-3.0	0.47195
-15.0	-2.5	0.453951
-15.0	-2.0	0.435953
-15.0	-1.5	0.417954
-15.0	-1.0	0.399955
-15.0	-0.5	0.381957
-15.0	0.0	0.363958
-14.5	-20.0	1.030252
-14.5	-19.5	1.014004
-14.5	-19.0	0.997755
-14.5	-18.5	0.981507
-14.5	-18.0	0.965259
-14.5	-17.5	0.94901
-14.5	-17.0	0.932762
-14.5	-16.0	0.900265
-14.5	-16.5	0.916514
-14.5	-15.5	0.884017
-14.5	-15.0	0.867769
-14.5	-14.0	0.835272
-14.5	-14.5	0.85152
-14.5	-13.5	0.819024
-14.5	-13.0	0.802775
-14.5	-12.5	0.786527
-14.5	-12.0	0.770279
-14.5	-11.5	0.75403
-14.5	-11.0	0.737782
-14.5	-10.5	0.721534
-14.5	-10.0	0.705285
-14.5	-9.5	0.689037
-14.5	-9.0	0.672703
-14.5	-8.0	0.636706
-14.5	-8.5	0.654704
-14.5	-7.5	0.618707
-14.5	-7.0	0.600709
-14.5	-6.5	0.58271
-14.5	-6.0	0.564711
-14.5	-5.5	0.546713
-14.5	-5.0	0.528714
-14.5	-4.5	0.510716
-14.5	-4.0	0.492717
-14.5	-3.5	0.474719
-14.5	-3.0	0.45672
-14.5	-2.5	0.438722
-14.5	-2.0	0.420723
-14.5	-1.5	0.402724
-14.5	-0.5	0.366727
-14.5	-1.0	0.384726
-14.5	0.0	0.348729
-14.0	-19.5	0.997755
-14.0	-20.0	1.014004
-14.0	-19.0	0.981507
-14.0	-18.5	0.965259
-14.0	-18.0	0.94901
-14.0	-17.5	0.932762
-14.0	-17.0	0.916514
