R_PItex	1.000000 M_pi_e = 1.000000 M_pi_p	-999999.000000	999999.000000	#1.000000 M_Phosphate_HO4P = 1.000000 M_Phosphate_HO4P
R_PGSA181	1.000000 M_cdpdodec11eg_c + 1.000000 M_glyc3p_c = 1.000000 M_pgp181_c + 1.000000 M_cmp_c + 1.000000 M_h_c	0.000000	999999.000000	#1.000000 M_CDP_1_2_dioctadec_11_enoylglycerol_C48H83N3O15P2 + 1.000000 M_Glycerol_3_phosphate_C3H7O6P = 1.000000 M_Phosphatidylglycerophosphate__dioctadec_11_enoyl__n_C181__C42H77O13P2 + 1.000000 M_CMP_C9H12N3O8P + 1.000000 M_H_H
R_GLYCtex	1.000000 M_glyc_e = 1.000000 M_glyc_p	-999999.000000	999999.000000	#1.000000 M_Glycerol_C3H8O3 = 1.000000 M_Glycerol_C3H8O3
R_ACNAMtex	1.000000 M_acnam_e = 1.000000 M_acnam_p	-999999.000000	999999.000000	#1.000000 M_N_Acetylneuraminate_C11H18NO9 = 1.000000 M_N_Acetylneuraminate_C11H18NO9
R_MALtex	1.000000 M_mal_L_e = 1.000000 M_mal_L_p	-999999.000000	999999.000000	#1.000000 M_L_Malate_C4H4O5 = 1.000000 M_L_Malate_C4H4O5
R_CYTK1	1.000000 M_cmp_c + 1.000000 M_atp_c = 1.000000 M_cdp_c + 1.000000 M_adp_c	-999999.000000	999999.000000	#1.000000 M_CMP_C9H12N3O8P + 1.000000 M_ATP_C10H12N5O13P3 = 1.000000 M_CDP_C9H12N3O11P2 + 1.000000 M_ADP_C10H12N5O10P2
R_HEPT1	1.000000 M_adphep_LD_c + 1.000000 M_lipa_c = 1.000000 M_adp_c + 1.000000 M_hlipa_c + 1.000000 M_h_c	0.000000	999999.000000	#1.000000 M_ADP_L_glycero_D_manno_heptose_C17H25N5O16P2 + 1.000000 M_KDO_2__lipid__A__C110H196N2O39P2 = 1.000000 M_ADP_C10H12N5O10P2 + 1.000000 M_heptosyl_kdo2_lipidA_C117H208N2O45P2 + 1.000000 M_H_H
R_CYTK2	1.000000 M_dcmp_c + 1.000000 M_atp_c = 1.000000 M_adp_c + 1.000000 M_dcdp_c	-999999.000000	999999.000000	#1.000000 M_dCMP_C9H12N3O7P + 1.000000 M_ATP_C10H12N5O13P3 = 1.000000 M_ADP_C10H12N5O10P2 + 1.000000 M_dCDP_C9H12N3O10P2
R_DHPPDA2	1.000000 M_h2o_c + 1.000000 M_25drapp_c + 1.000000 M_h_c = 1.000000 M_nh4_c + 1.000000 M_5apru_c	0.000000	999999.000000	#1.000000 M_H2O_H2O + 1.000000 M_2_5_Diamino_6__ribosylamino__4__3H__pyrimidinone_5__phosphate_C9H14N5O8P + 1.000000 M_H_H = 1.000000 M_Ammonium_H4N + 1.000000 M_5_Amino_6__5__phosphoribosylamino_uracil_C9H13N4O9P
R_PGSA180	1.000000 M_glyc3p_c + 1.000000 M_cdpdodecg_c = 1.000000 M_h_c + 1.000000 M_pgp180_c + 1.000000 M_cmp_c	0.000000	999999.000000	#1.000000 M_Glycerol_3_phosphate_C3H7O6P + 1.000000 M_CDP_1_2_dioctadecanoylglycerol_C48H87N3O15P2 = 1.000000 M_H_H + 1.000000 M_Phosphatidylglycerophosphate__dioctadecanoyl__n_C180__C42H81O13P2 + 1.000000 M_CMP_C9H12N3O8P
R_PLIPA1E161pp	1.000000 M_h2o_p + 1.000000 M_pe161_p = 1.000000 M_2agpe161_p + 1.000000 M_h_p + 1.000000 M_hdcea_p	0.000000	999999.000000	#1.000000 M_H2O_H2O + 1.000000 M_phosphatidylethanolamine__dihexadec_9enoyl__n_C161__C37H70N1O8P1 = 1.000000 M_2_Acyl_sn_glycero_3_phosphoethanolamine__n_C161__C21H42NO7P1 + 1.000000 M_H_H + 1.000000 M_Hexadecenoate__n_C161__C16H29O2
R_O16A4COLIPAtex	1.000000 M_o16a4colipa_p = 1.000000 M_o16a4colipa_e	0.000000	999999.000000	#1.000000 M__O16_antigen_x4_core_oligosaccharide_lipid_A_C312H523N6O200P4 = 1.000000 M__O16_antigen_x4_core_oligosaccharide_lipid_A_C312H523N6O200P4
R_SHSL1	1.000000 M_cys_L_c + 1.000000 M_suchms_c = 1.000000 M_succ_c + 1.000000 M_h_c + 1.000000 M_cyst_L_c	0.000000	999999.000000	#1.000000 M_L_Cysteine_C3H7NO2S + 1.000000 M_O_Succinyl_L_homoserine_C8H12NO6 = 1.000000 M_Succinate_C4H4O4 + 1.000000 M_H_H + 1.000000 M_L_Cystathionine_C7H14N2O4S
R_EX_psclys_e_	1.000000 M_psclys_e = 1.000000 M_psclys_b_externalM	0.000000	999999.000000	#1.000000 M_psicoselysine_C12H25N2O7 = 1.000000 M_psicoselysine_C12H25N2O7
R_EX_tma_e_	1.000000 M_tma_e = 1.000000 M_tma_b_externalM	0.000000	999999.000000	#1.000000 M_trimethylamine_C3H10N = 1.000000 M_trimethylamine_C3H10N
R_GLYCLTt2rpp	1.000000 M_glyclt_p + 1.000000 M_h_p = 1.000000 M_glyclt_c + 1.000000 M_h_c	-999999.000000	999999.000000	#1.000000 M_Glycolate_C2H3O3 + 1.000000 M_H_H = 1.000000 M_Glycolate_C2H3O3 + 1.000000 M_H_H
R_MSO3abcpp	1.000000 M_h2o_c + 1.000000 M_mso3_p + 1.000000 M_atp_c = 1.000000 M_h_c + 1.000000 M_pi_c + 1.000000 M_adp_c + 1.000000 M_mso3_c	0.000000	999999.000000	#1.000000 M_H2O_H2O + 1.000000 M_methanesulfonate_CH3O3S + 1.000000 M_ATP_C10H12N5O13P3 = 1.000000 M_H_H + 1.000000 M_Phosphate_HO4P + 1.000000 M_ADP_C10H12N5O10P2 + 1.000000 M_methanesulfonate_CH3O3S
R_EX_acgam1p_e_	1.000000 M_acgam1p_e = 1.000000 M_acgam1p_b_externalM	0.000000	999999.000000	#1.000000 M_N_Acetyl_D_glucosamine_1_phosphate_C8H14NO9P = 1.000000 M_N_Acetyl_D_glucosamine_1_phosphate_C8H14NO9P
R_EX_g3ps_e_	1.000000 M_g3ps_e = 1.000000 M_g3ps_b_externalM	0.000000	999999.000000	#1.000000 M_Glycerophosphoserine_C6H13NO8P = 1.000000 M_Glycerophosphoserine_C6H13NO8P
R_GLCURt2rpp	1.000000 M_glcur_p + 1.000000 M_h_p = 1.000000 M_h_c + 1.000000 M_glcur_c	-999999.000000	999999.000000	#1.000000 M_D_Glucuronate_C6H9O7 + 1.000000 M_H_H = 1.000000 M_H_H + 1.000000 M_D_Glucuronate_C6H9O7
R_HKNDDH	1.000000 M_hkndd_c + 1.000000 M_h2o_c = 1.000000 M_op4en_c + 1.000000 M_succ_c + 1.000000 M_h_c	0.000000	999999.000000	#1.000000 M_2_Hydroxy_6_oxonona_2_4_diene_1_9_dioate_C9H8O6 + 1.000000 M_H2O_H2O = 1.000000 M_2_Oxopent_4_enoate_C5H5O3 + 1.000000 M_Succinate_C4H4O4 + 1.000000 M_H_H
R_EX_ac_e_	1.000000 M_ac_e = 1.000000 M_ac_b_externalM	0.000000	999999.000000	#1.000000 M_Acetate_C2H3O2 = 1.000000 M_Acetate_C2H3O2
R_DSBAO1	1.000000 M_dsbard_p + 1.000000 M_q8_c = 1.000000 M_q8h2_c + 1.000000 M_dsbaox_p	0.000000	999999.000000	#1.000000 M_periplasmic_protein_disulfide_isomerase_I__reduced__XH2 + 1.000000 M_Ubiquinone_8_C49H74O4 = 1.000000 M_Ubiquinol_8_C49H76O4 + 1.000000 M_periplasmic_protein_disulfide_isomerase_I__oxidized__X
R_PGPP141	1.000000 M_pgp141_c + 1.000000 M_h2o_c = 1.000000 M_pg141_c + 1.000000 M_pi_c	0.000000	999999.000000	#1.000000 M_Phosphatidylglycerophosphate__ditetradec_7_enoyl__n_C141__C34H61O13P2 + 1.000000 M_H2O_H2O = 1.000000 M_Phosphatidylglycerol__ditetradec_7_enoyl__n_C141__C34H62O10P1 + 1.000000 M_Phosphate_HO4P
